Name,URL
Fine / ಉತ್ತಮ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=3&VarCode=71&Date=DATEHERE&CommName=Rice / ಅಕ್ಕಿ&VarName=Fine / ಉತ್ತಮ
Medium / ಮಧ್ಯಮ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=3&VarCode=121&Date=DATEHERE&CommName=Rice / ಅಕ್ಕಿ&VarName=Medium / ಮಧ್ಯಮ
I. R. - 64 / ಐ.ಆರ್.64 (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=3&VarCode=156&Date=DATEHERE&CommName=Rice / ಅಕ್ಕಿ&VarName=I. R. - 64 / ಐ.ಆರ್.64
Sona / ಸೋನ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=3&VarCode=197&Date=DATEHERE&CommName=Rice / ಅಕ್ಕಿ&VarName=Sona / ಸೋನ
Kattasambar / ಕಟ್ಟಾ ಸಾಂಬಾರ್ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=3&VarCode=245&Date=DATEHERE&CommName=Rice / ಅಕ್ಕಿ&VarName=Kattasambar / ಕಟ್ಟಾ ಸಾಂಬಾರ್
Broken Rice / ನುಚ್ಚಕ್ಕಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=3&VarCode=247&Date=DATEHERE&CommName=Rice / ಅಕ್ಕಿ&VarName=Broken Rice / ನುಚ್ಚಕ್ಕಿ
Other / ಇತರೆ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=3&VarCode=999&Date=DATEHERE&CommName=Rice / ಅಕ್ಕಿ&VarName=Other / ಇತರೆ
Maize / ಮೆಕ್ಕೆಜೋಳ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=4&VarCode=8&Date=DATEHERE&CommName=Maize / ಮೆಕ್ಕೆಜೋಳ&VarName=Hybrid/Local / ಹೈಬ್ರಿಡ್ ಸ್ಥಳೀಯ
Hybrid/Local / ಹೈಬ್ರಿಡ್ ಸ್ಥಳೀಯ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=4&VarCode=8&Date=DATEHERE&CommName=Maize / ಮೆಕ್ಕೆಜೋಳ&VarName=Hybrid/Local / ಹೈಬ್ರಿಡ್ ಸ್ಥಳೀಯ
Local / ಸ್ಥಳೀಯ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=4&VarCode=9&Date=DATEHERE&CommName=Maize / ಮೆಕ್ಕೆಜೋಳ&VarName=Local / ಸ್ಥಳೀಯ
Yellow / ಹಳದಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=4&VarCode=18&Date=DATEHERE&CommName=Maize / ಮೆಕ್ಕೆಜೋಳ&VarName=Yellow / ಹಳದಿ
Sweet Corn (For Biscuits) / ಸ್ವೀಟ್ ಕಾರನ್ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=4&VarCode=36&Date=DATEHERE&CommName=Maize / ಮೆಕ್ಕೆಜೋಳ&VarName=Sweet Corn (For Biscuits) / ಸ್ವೀಟ್ ಕಾರನ್
Jowar / ಜೋಳ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=5&VarCode=2&Date=DATEHERE&CommName=Jowar / ಜೋಳ&VarName=Jowar ( White) / ಜೋಳ ಬಿಳಿ
Jowar ( White) / ಜೋಳ ಬಿಳಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=5&VarCode=2&Date=DATEHERE&CommName=Jowar / ಜೋಳ&VarName=Jowar ( White) / ಜೋಳ ಬಿಳಿ
Local / ಸ್ಥಳೀಯ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=5&VarCode=4&Date=DATEHERE&CommName=Jowar / ಜೋಳ&VarName=Local / ಸ್ಥಳೀಯ
Jowar Hybrid / ಹೈಬ್ರಿಡ್ ಜೋಳ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=5&VarCode=7&Date=DATEHERE&CommName=Jowar / ಜೋಳ&VarName=Jowar Hybrid / ಹೈಬ್ರಿಡ್ ಜೋಳ
Hybrid / ಹೈಬ್ರಿಡ್ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=5&VarCode=19&Date=DATEHERE&CommName=Jowar / ಜೋಳ&VarName=Hybrid / ಹೈಬ್ರಿಡ್
Bajra / ಸಜ್ಜೆ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=28&VarCode=8&Date=DATEHERE&CommName=Bajra / ಸಜ್ಜೆ&VarName=Hybrid / ಹೈಬ್ರಿಡ್
Hybrid / ಹೈಬ್ರಿಡ್ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=28&VarCode=8&Date=DATEHERE&CommName=Bajra / ಸಜ್ಜೆ&VarName=Hybrid / ಹೈಬ್ರಿಡ್
Local / ಸ್ಥಳೀಯ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=28&VarCode=10&Date=DATEHERE&CommName=Bajra / ಸಜ್ಜೆ&VarName=Local / ಸ್ಥಳೀಯ
Other / ಇತರೆ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=28&VarCode=999&Date=DATEHERE&CommName=Bajra / ಸಜ್ಜೆ&VarName=Other / ಇತರೆ
Ragi / ರಾಗಿ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=30&VarCode=1&Date=DATEHERE&CommName=Ragi / ರಾಗಿ&VarName=Fine / ಉತ್ತಮ
Fine / ಉತ್ತಮ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=30&VarCode=1&Date=DATEHERE&CommName=Ragi / ರಾಗಿ&VarName=Fine / ಉತ್ತಮ
Local / ಸ್ಥಳೀಯ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=30&VarCode=2&Date=DATEHERE&CommName=Ragi / ರಾಗಿ&VarName=Local / ಸ್ಥಳೀಯ
Red / ಕೆಂಪು (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=30&VarCode=3&Date=DATEHERE&CommName=Ragi / ರಾಗಿ&VarName=Red / ಕೆಂಪು
Hybrid / ಹೈಬ್ರಿಡ್ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=30&VarCode=4&Date=DATEHERE&CommName=Ragi / ರಾಗಿ&VarName=Hybrid / ಹೈಬ್ರಿಡ್
Navane / ನವಣೆ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=121&VarCode=1&Date=DATEHERE&CommName=Navane / ನವಣೆ&VarName=Navane Hybrid / ನವಣೆ ಹೈಬ್ರಿಡ್
Navane Hybrid / ನವಣೆ ಹೈಬ್ರಿಡ್ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=121&VarCode=1&Date=DATEHERE&CommName=Navane / ನವಣೆ&VarName=Navane Hybrid / ನವಣೆ ಹೈಬ್ರಿಡ್
Other / ಇತರೆ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=121&VarCode=999&Date=DATEHERE&CommName=Navane / ನವಣೆ&VarName=Other / ಇತರೆ
Same/Savi / ಸಾಮೆ/ಸಾವಿ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=122&VarCode=1&Date=DATEHERE&CommName=Same/Savi / ಸಾಮೆ/ಸಾವಿ&VarName=Same/Savi Local / ಸಾಮೆ / ಸಾವಿ
Same/Savi Local / ಸಾಮೆ / ಸಾವಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=122&VarCode=1&Date=DATEHERE&CommName=Same/Savi / ಸಾಮೆ/ಸಾವಿ&VarName=Same/Savi Local / ಸಾಮೆ / ಸಾವಿ
Sajje / ಸಜ್ಜೆ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=271&VarCode=1&Date=DATEHERE&CommName=Sajje / ಸಜ್ಜೆ&VarName=Sajje / ಸಜ್ಜೆ
Sajje / ಸಜ್ಜೆ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=271&VarCode=1&Date=DATEHERE&CommName=Sajje / ಸಜ್ಜೆ&VarName=Sajje / ಸಜ್ಜೆ
Dry Grapes / ಒಣದ್ರಾಕ್ಷಿ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=278&VarCode=1&Date=DATEHERE&CommName=Dry Grapes / ಒಣದ್ರಾಕ್ಷಿ&VarName=Dry Grapes / ಒಣದ್ರಾಕ್ಷಿ
Dry Grapes / ಒಣದ್ರಾಕ್ಷಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=278&VarCode=1&Date=DATEHERE&CommName=Dry Grapes / ಒಣದ್ರಾಕ್ಷಿ&VarName=Dry Grapes / ಒಣದ್ರಾಕ್ಷಿ
Cotton / ಹತ್ತಿ ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=15&VarCode=5&Date=DATEHERE&CommName=Cotton / ಹತ್ತಿ&VarName=Suyodhar / ಸುಯೋಧರ್
Suyodhar / ಸುಯೋಧರ್ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=15&VarCode=5&Date=DATEHERE&CommName=Cotton / ಹತ್ತಿ&VarName=Suyodhar / ಸುಯೋಧರ್
NH-44 COTTON / ಎನ್.ಹಚ್.44 ಹತ್ತಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=15&VarCode=20&Date=DATEHERE&CommName=Cotton / ಹತ್ತಿ&VarName=NH-44 COTTON / ಎನ್.ಹಚ್.44 ಹತ್ತಿ
BANNI / ಬನಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=15&VarCode=25&Date=DATEHERE&CommName=Cotton / ಹತ್ತಿ&VarName=BANNI / ಬನಿ
HYBRID-44 / ಹೈಬ್ರಿಡ್-44 (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=15&VarCode=26&Date=DATEHERE&CommName=Cotton / ಹತ್ತಿ&VarName=HYBRID-44 / ಹೈಬ್ರಿಡ್-44
Jaydhar / ಜಯಧರ್ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=15&VarCode=32&Date=DATEHERE&CommName=Cotton / ಹತ್ತಿ&VarName=Jaydhar / ಜಯಧರ್
D.C.H. / ಡಿ.ಸಿ.ಹೆಚ್.  (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=15&VarCode=75&Date=DATEHERE&CommName=Cotton / ಹತ್ತಿ&VarName=D.C.H. / ಡಿ.ಸಿ.ಹೆಚ್.
 (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=15&VarCode=79&Date=DATEHERE&CommName=Cotton / ಹತ್ತಿ&VarName=
All Flowers / ಎಲ್ಲಾ ಹೂಗಳು,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=227&VarCode=999&Date=DATEHERE&CommName=All Flowers / ಎಲ್ಲಾ ಹೂಗಳು&VarName=Other / ಇತರೆ
Other / ಇತರೆ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=227&VarCode=999&Date=DATEHERE&CommName=All Flowers / ಎಲ್ಲಾ ಹೂಗಳು&VarName=Other / ಇತರೆ
Rose / ಗುಲಾಬಿ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=228&VarCode=999&Date=DATEHERE&CommName=Rose / ಗುಲಾಬಿ&VarName=Other / ಇತರೆ
Other / ಇತರೆ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=228&VarCode=999&Date=DATEHERE&CommName=Rose / ಗುಲಾಬಿ&VarName=Other / ಇತರೆ
Soapnut / ಸೀಗೇಕಾಯಿ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=207&VarCode=2&Date=DATEHERE&CommName=Soapnut / ಸೀಗೇಕಾಯಿ&VarName=Medium / ಮಧ್ಯಮ
Medium / ಮಧ್ಯಮ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=207&VarCode=2&Date=DATEHERE&CommName=Soapnut / ಸೀಗೇಕಾಯಿ&VarName=Medium / ಮಧ್ಯಮ
Tamarind Seed / ಹುಣಸೇಬೀಜ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=208&VarCode=1&Date=DATEHERE&CommName=Tamarind Seed / ಹುಣಸೇಬೀಜ&VarName=Tamarind Seed / ಹುಣಸೆ ಬೀಜ
Tamarind Seed / ಹುಣಸೆ ಬೀಜ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=208&VarCode=1&Date=DATEHERE&CommName=Tamarind Seed / ಹುಣಸೇಬೀಜ&VarName=Tamarind Seed / ಹುಣಸೆ ಬೀಜ
Tamarind Fruit / ಹುಣಸೇಹಣ್ಣು,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=261&VarCode=1&Date=DATEHERE&CommName=Tamarind Fruit / ಹುಣಸೇಹಣ್ಣು&VarName=Tamarind Fruit / ಹುಣಸೆಹಣ್ಣು
Tamarind Fruit / ಹುಣಸೆಹಣ್ಣು (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=261&VarCode=1&Date=DATEHERE&CommName=Tamarind Fruit / ಹುಣಸೇಹಣ್ಣು&VarName=Tamarind Fruit / ಹುಣಸೆಹಣ್ಣು
Apple / ಸೇಬು,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=17&VarCode=23&Date=DATEHERE&CommName=Apple / ಸೇಬು&VarName=Apple / ಸೇಬು
Apple / ಸೇಬು (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=17&VarCode=23&Date=DATEHERE&CommName=Apple / ಸೇಬು&VarName=Apple / ಸೇಬು
Orange / ಕಿತ್ತಳೆ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=18&VarCode=6&Date=DATEHERE&CommName=Orange / ಕಿತ್ತಳೆ&VarName=Orange / ಕಿತ್ತಳೆ
Orange / ಕಿತ್ತಳೆ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=18&VarCode=6&Date=DATEHERE&CommName=Orange / ಕಿತ್ತಳೆ&VarName=Orange / ಕಿತ್ತಳೆ
Banana / ಬಾಳೆಹಣ್ಣು,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=19&VarCode=9&Date=DATEHERE&CommName=Banana / ಬಾಳೆಹಣ್ಣು&VarName=Nendra Bale / ನೇಂದ್ರಬಾಳೆ
Nendra Bale / ನೇಂದ್ರಬಾಳೆ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=19&VarCode=9&Date=DATEHERE&CommName=Banana / ಬಾಳೆಹಣ್ಣು&VarName=Nendra Bale / ನೇಂದ್ರಬಾಳೆ
Banana - Ripe / ಬನಾನ ರೈಪ್ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=19&VarCode=10&Date=DATEHERE&CommName=Banana / ಬಾಳೆಹಣ್ಣು&VarName=Banana - Ripe / ಬನಾನ ರೈಪ್
Pachha Bale / ಪಚ್ಚಬಾಳೆ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=19&VarCode=11&Date=DATEHERE&CommName=Banana / ಬಾಳೆಹಣ್ಣು&VarName=Pachha Bale / ಪಚ್ಚಬಾಳೆ
Elakki Bale / ಏಲಕ್ಕಿ ಬಾಳೆ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=19&VarCode=12&Date=DATEHERE&CommName=Banana / ಬಾಳೆಹಣ್ಣು&VarName=Elakki Bale / ಏಲಕ್ಕಿ ಬಾಳೆ
Nauti Bale / ನಾಟಿ ಬಾಳೆ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=19&VarCode=13&Date=DATEHERE&CommName=Banana / ಬಾಳೆಹಣ್ಣು&VarName=Nauti Bale / ನಾಟಿ ಬಾಳೆ
Other / ಇತರೆ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=19&VarCode=999&Date=DATEHERE&CommName=Banana / ಬಾಳೆಹಣ್ಣು&VarName=Other / ಇತರೆ
Pine Apple / ಅನಾನಸ್,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=21&VarCode=1&Date=DATEHERE&CommName=Pine Apple / ಅನಾನಸ್&VarName=Pine Apple / ಅನಾನಸ್
Pine Apple / ಅನಾನಸ್ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=21&VarCode=1&Date=DATEHERE&CommName=Pine Apple / ಅನಾನಸ್&VarName=Pine Apple / ಅನಾನಸ್
Grapes / ದ್ರಾಕ್ಷಿ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=22&VarCode=2&Date=DATEHERE&CommName=Grapes / ದ್ರಾಕ್ಷಿ&VarName=Black / ಕಪ್ಪು
Black / ಕಪ್ಪು (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=22&VarCode=2&Date=DATEHERE&CommName=Grapes / ದ್ರಾಕ್ಷಿ&VarName=Black / ಕಪ್ಪು
Green / ಹಸಿರು (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=22&VarCode=3&Date=DATEHERE&CommName=Grapes / ದ್ರಾಕ್ಷಿ&VarName=Green / ಹಸಿರು
White / ಬಿಳಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=22&VarCode=4&Date=DATEHERE&CommName=Grapes / ದ್ರಾಕ್ಷಿ&VarName=White / ಬಿಳಿ
Other / ಇತರೆ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=22&VarCode=999&Date=DATEHERE&CommName=Grapes / ದ್ರಾಕ್ಷಿ&VarName=Other / ಇತರೆ
Chikoos (Sapota) / ಸಪೋಟ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=71&VarCode=1&Date=DATEHERE&CommName=Chikoos (Sapota) / ಸಪೋಟ&VarName=Sapota / ಸಪೋಟ
Sapota / ಸಪೋಟ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=71&VarCode=1&Date=DATEHERE&CommName=Chikoos (Sapota) / ಸಪೋಟ&VarName=Sapota / ಸಪೋಟ
Papaya / ಪಪ್ಪಾಯಿ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=72&VarCode=1&Date=DATEHERE&CommName=Papaya / ಪಪ್ಪಾಯಿ&VarName=Papaya / ಪಪ್ಪಾಯಿ
Papaya / ಪಪ್ಪಾಯಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=72&VarCode=1&Date=DATEHERE&CommName=Papaya / ಪಪ್ಪಾಯಿ&VarName=Papaya / ಪಪ್ಪಾಯಿ
Water Melon / ಕಲ್ಲಂಗಡಿ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=73&VarCode=1&Date=DATEHERE&CommName=Water Melon / ಕಲ್ಲಂಗಡಿ&VarName=Water Melon / ಕಲ್ಲಂಗಡಿ
Water Melon / ಕಲ್ಲಂಗಡಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=73&VarCode=1&Date=DATEHERE&CommName=Water Melon / ಕಲ್ಲಂಗಡಿ&VarName=Water Melon / ಕಲ್ಲಂಗಡಿ
Mousambi / ಮೂಸಂಬಿ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=77&VarCode=1&Date=DATEHERE&CommName=Mousambi / ಮೂಸಂಬಿ&VarName=Mousambi / ಮೊಸಂಬಿ
Mousambi / ಮೊಸಂಬಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=77&VarCode=1&Date=DATEHERE&CommName=Mousambi / ಮೂಸಂಬಿ&VarName=Mousambi / ಮೊಸಂಬಿ
Guava / ಸೀಬೆಹಣ್ಣು,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=185&VarCode=4&Date=DATEHERE&CommName=Guava / ಸೀಬೆಹಣ್ಣು&VarName=Guava / ಸೀಬೆಕಾಯಿ
Guava / ಸೀಬೆಕಾಯಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=185&VarCode=4&Date=DATEHERE&CommName=Guava / ಸೀಬೆಹಣ್ಣು&VarName=Guava / ಸೀಬೆಕಾಯಿ
Karbuja / ಕರಬೂಜ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=187&VarCode=1&Date=DATEHERE&CommName=Karbuja / ಕರಬೂಜ&VarName=Karbhuja / ಕರ್ಬೂಜ
Karbhuja / ಕರ್ಬೂಜ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=187&VarCode=1&Date=DATEHERE&CommName=Karbuja / ಕರಬೂಜ&VarName=Karbhuja / ಕರ್ಬೂಜ
Pomagranate / ದಾಳಿಂಬೆ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=190&VarCode=1&Date=DATEHERE&CommName=Pomagranate / ದಾಳಿಂಬೆ&VarName=Pomogranate / ದಾಳಿಂಬೆ
Pomogranate / ದಾಳಿಂಬೆ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=190&VarCode=1&Date=DATEHERE&CommName=Pomagranate / ದಾಳಿಂಬೆ&VarName=Pomogranate / ದಾಳಿಂಬೆ
Cow (For Each) / ಹಸು,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=212&VarCode=1&Date=DATEHERE&CommName=Cow (For Each) / ಹಸು&VarName=Cow / ಆಕಳು
